Cell,Cyc,Type,Delta,v,q,T,t_remain
Cell1,cyc0000,C1ch,0,2.7192132,0.0,41.295536,3509
Cell1,cyc0000,C1ch,50,3.1585004,10.31920539027913,40.80035,3459
Cell1,cyc0000,C1ch,100,3.2840583,20.638345741475426,40.575645,3409
Cell1,cyc0000,C1ch,150,3.3699157,30.957507360405806,40.388416,3359
Cell1,cyc0000,C1ch,200,3.4355218,41.27683995546468,40.313541,3309
Cell1,cyc0000,C1ch,250,3.4876938,51.59602673156399,40.188721,3259
Cell1,cyc0000,C1ch,300,3.5268731,61.91527140997654,40.101341,3209
Cell1,cyc0000,C1ch,350,3.5456807999999995,72.23465345628188,40.051395,3159
Cell1,cyc0000,C1ch,400,3.5593553,82.55406758118015,40.076370000000004,3109
Cell1,cyc0000,C1ch,450,3.5733507000000007,92.8732855848626,40.113808,3059
Cell1,cyc0000,C1ch,500,3.5872259,103.19255301635401,40.138779,3009
Cell1,cyc0000,C1ch,550,3.6024244,113.51181633116659,40.201187,2959
Cell1,cyc0000,C1ch,600,3.6191466,123.83092088365679,40.138779,2909
Cell1,cyc0000,C1ch,650,3.6371922,134.1500291725023,40.188721,2859
Cell1,cyc0000,C1ch,700,3.6570828,144.4691810090264,40.151283,2809
Cell1,cyc0000,C1ch,750,3.6774142,154.7883723983324,40.201187,2759
Cell1,cyc0000,C1ch,800,3.6982269,165.1075971278449,40.213692,2709
Cell1,cyc0000,C1ch,850,3.7184782,175.4268319617411,40.201187,2659
Cell1,cyc0000,C1ch,900,3.7374059999999996,185.7460501552938,40.16375,2609
Cell1,cyc0000,C1ch,950,3.7542086,196.0653299882609,40.076370000000004,2559
Cell1,cyc0000,C1ch,1000,3.7685248999999996,206.3845433970337,40.001495,2509
Cell1,cyc0000,C1ch,1050,3.7803948,216.7036515857273,39.964054,2459
Cell1,cyc0000,C1ch,1100,3.7896582999999997,227.02283773368333,39.826733000000004,2409
